name1,name2,score,source,target
Cinderella,PrinceCharming,56,0,1
Cinderella,LadyTremaine,39,0,5
Jaq,Gus,35,7,8
Cinderella,Anastasia,34,0,2
Cinderella,Drizella,30,0,3
PrinceCharming,GrandDuke,28,1,6
Cinderella,Gus,27,0,8
Cinderella,Jaq,24,0,7
LadyTremaine,Anastasia,18,5,2
GrandDuke,Anastasia,18,6,2
GrandDuke,Drizella,18,6,3
Jaq,Lucifer,18,7,9
LadyTremaine,Drizella,17,5,3
Gus,Lucifer,15,8,9
Cinderella,GrandDuke,14,0,6
Cinderella,FairyGodmother,13,0,4
PrinceCharming,LadyTremaine,8,1,5
PrinceCharming,Anastasia,6,1,2
PrinceCharming,Drizella,6,1,3
Cinderella,Lucifer,5,0,9
