name1,name2,score,source,target
Anna,Kristoff,58,1,3
Elsa,Anna,46,0,1
Anna,Olaf,37,1,2
Kristoff,Sven,28,3,5
Anna,Hans,24,1,4
Anna,Sven,24,1,5
Elsa,KingAgnarr,23,0,7
Elsa,DukeofWeselton,21,0,9
Elsa,Kristoff,20,0,3
Kristoff,GrandPabbie,19,3,6
Kristoff,Bulda,18,3,10
Anna,DukeofWeselton,18,1,9
Elsa,QueenIduna,18,0,8
KingAgnarr,QueenIduna,18,7,8
QueenIduna,GrandPabbie,17,8,6
Olaf,Sven,17,2,5
Elsa,GrandPabbie,15,0,6
KingAgnarr,GrandPabbie,15,7,6
Anna,GrandPabbie,14,1,6
Elsa,Hans,14,0,4
Anna,Oaken,13,1,11
Kristoff,Oaken,13,3,11
Anna,Bulda,12,1,10
DukeofWeselton,Hans,12,9,4
Elsa,Olaf,11,0,2
Bulda,Sven,10,10,5
